Sr. No.,Jun DUNs,May DUNs,legal_nm,dba_nm,alt_bus_nm,bus1_address1,bus1_address2,bus1_city,bus1_state_cd,Action Code,Action Code Details,Final DUNS,Comments,Weblinks,June/May,Location,Company Name on D&B,Address on D&B,Contact Number,DUNS As Per CP,Headquarter DUNS
,963141721,75314971,UNIVERSITY OF JUDAISM,UNIVERSITY OF JUDAISM,,15600 MULHOLLAND DR,,LOS ANGELES,CA,D,After research on the web found possible DUNS,963141721 /  075314971,"On hoovers for JUNE DUNS we found company name ""University of Judaism Foundation"" and name matches partially & address matches completely and for MAY DUNS we found company name ""AMERICAN JEWISH UNIVERSITY"" where name is different & address matches completely. So both JUNE and MAY DUNS are considered.",-,June/May,Single Location/Single Location,University of Judaism Foundation,"15600 Mulholland Dr Los Angeles, CA 90077-1599, United States ",310-440-1242 ,963141721 /  075314971,-
,11080186,7490009,ROYAL BLUNTS INC,NEW IMAGE GLOBAL INC,,3002 DOW AVE STE 108,,TUSTIN,CA,A,Accepted original DUNS based on input data given,11080186,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially address matches.,-,June,Single Location,"New Image Global, Inc.","3002 Dow Ave Ste 108 Tustin, CA 92780-7247 United States ",951-371-8344 ,-,-
,78715327,793476297,BREEN COLOR,BREEN COLOR,,11 KARI DR,,LAMBERTVILLE,NJ,D,After research on the web found possible DUNS,078715327 / 793476297,"On hoovers for JUNE DUNS we found company name ""Breen Color Concentrates, Inc."" and name matches partially & address matches completely and for MAY DUNS we found company name ""Pvc Compounders, LLC"" and tradestyle & address matches completely. So both JUNE and MAY DUNS are considered.",-,June/May,Single Location / Branch,"Breen Color Concentrates, Inc.","11 Kari Dr Lambertville, NJ 08530-3411, United States ",609-397-8200 ,078715327 / 793476297,-
,5126053,611571324,HEADINGTON OIL CO,HEADINGTON OIL CO,,2711 N HASKELL AVE,,DALLAS,TX,A,Accepted original DUNS based on input data given,5126053,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially address matches.,-,June,Single Location,Headington Oil Company,"2711 N Haskell Ave #2800 Dallas, TX 75204-2940, United States ",214-696-0606 ,-,-
,792537461,160149217,FRANKLIN CONSTRCTION,FRANKLIN CONSTRCTION,,18591 BANDERA RD,,HELOTES,TX,A,Accepted original DUNS based on input data given,792537461,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially address matches.,-,June,Single Location,"Franklin Construction, Ltd.","18591 Bandera Rd Helotes, TX 78023-2912, United States ",210-408-3100 ,-,-
,48419803,848046959,THE BUS TECH RES GROUP,THE BUS TECHNOLOGY RES GROUP,,535 WASHINGTON ST,,BUFFALO,NY,A,Accepted original DUNS based on input data given,48419803,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially address matches.,-,June,Single Location,THE BUSINESS & TECHNOLOGY RESOURCE GROUP INC,"535 Washington St Ste 1200 Buffalo, NY 14203, United States ",716-849-2874 ,-,-
,883314619,618172915,KUKA FLEXIBLE PROD,KUKA SYSTEM CORP NA,,"2855 COLLIDGE,107",,TROY,-,B,After research on the web accept original DUNS,618172915,We could find different company name with JUNE DUNS where address is Different. For MAY DUNS we could find input company name matches partially and address matches.,-,May,Single Location,Production Toledo Operati Kuka,"2855 Coolidge Hwy Ste 107 Troy, MI 48084-3215, United States ",-,-,-
,121334432,32017315,THE MORTGAGE COACH,THE MORTGAGE COACH,,20 FAIRBANKS,,IRVINE,CA,A,Accepted original DUNS based on input data given,121334432,We could find JUNE DUNS on hoovers where tradestyle and address matches. For MAY DUNS we could find different company name where address is  matching,-,June,Single Location,"Wowtools, Inc.","20 Fairbanks Ste 174 Irvine, CA",949-608-3000,-,-
,14149909,194431792,SALES ENGINE INTERNATIONAL,SALES ENGINE INTERNATIONAL,,9111 JOLLYVILLE RD,,AUSTIN,TX,A,Accepted original DUNS based on input data given,14149909,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially address matches.,-,June,Headquarters,Sales Engine International LLC,"9111 Jollyville Rd #260 Austin, TX 78759-7411, United States ",314-550-4664 ,-,14149909
,36500879,143238900,ADVANCED TECH ACADEMY,ADVANCED TECHNOLOGY ACADEMY,,4800 OAKMAN BLVD,,DEARBORN,MI,B,After research on the web accept original DUNS,143238900,We could find different company name with JUNE DUNS where address is Different. For MAY DUNS we could find tradestyle and address matches.,-,May,Branch,Access Self Storage Inc,"4800 Oakman Blvd Dearborn, MI",-,-,-
