Sr. No.,Jun DUNs,May DUNs,legal_nm,dba_nm,alt_bus_nm,bus1_address1,bus1_address2,bus1_city,bus1_state_cd,Action Code,Action Code Details,Final DUNS,Comments,Weblinks,June/May,Location,Company Name on D&B,Address on D&B,Contact Number,DUNS As Per CP,Headquarter DUNS
,36500099,797032372,BAE SYSTEMS,BAE SYSTEM,,10920 TECHNOLOGY PL,,SAN DIEGO,CA,D,After research on the web found possible DUNS,36500099/797032372,"On hoovers for JUNE DUNS we found company name ""Bae Systems, Inc "" and address matches completely and for MAY DUNS we found company name ""Bae Systems National Security Solutions Inc "" and address matches completely.So both JUNE and MAY DUNS are considered.
",,June/May,Branch/Single Location,"Bae Systems, Inc.","10920 Technology Pl
San Diego, CA 92127-1874, 
United States",619-788-5000 ,36500099/797032372,786429894
,801423062,168740355,CARDINAL HEALTH INC,CARDINAL HEALTH INC,,PO BOX 3813,,DUBLIN,OH,A,Accepted original DUNS based on input data given,801423062,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,"CARDINAL HEALTH, INC.","7000 Cardinal Pl
Dublin, OH 43017-1091, 
United States",614-932-0612 ,,97537435
,78290240,167231963,BOOZ ALLEN HAMILTON,BOOZ ALLEN HAMILTON,,575 HERNDON PKWY,,HERNDON,VA,A,Accepted original DUNS based on input data given,78290240,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Headquarters,Booz Allen Hamilton Inc.,"575 Herndon Pkwy
Herndon, VA 20170-5282, 
United States",571-346-4000 ,,
,78739747,75036264,SIEMENS CORP,SIEMENS CORP,,3850 QUDRANGL AFS422,,ORLANDO,,A,Accepted original DUNS based on input data given,78739747,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,Siemens Corporation,"3850 Quadrangle Blvd
Orlando, FL 32817-8368, 
United States",407-487-5000,,316067164
,128197675,99371452,INTEL CORP,INTEL CORP,,4500 S DOBSON RD,,CHANDLER,AZ,A,Accepted original DUNS based on input data given,128197675,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,INTEL Corporation,"4500 S Dobson Rd
Chandler, AZ 85248-4907, 
United States",480-554-8080 ,,47897855
,9448196,1915172,ADP INC,ADP INC,,71 HANOVER RD,,FLORHAM PARK,NJ,A,Accepted original DUNS based on input data given,9448196,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,"AUTOMATIC DATA PROCESSING, INC.","71 Hanover Rd
Florham Park, NJ 07932-1502, 
United States",973-410-0639 ,,1915172
,82487700,6987648,METLIFE,METLIFE,,277 PARK AVE,,NEW YORK,NY,A,Accepted original DUNS based on input data given,82487700,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Single Location,METLIFE,"277 Park Ave
New York, NY 10172-0003, 
United States",212-578-5248 ,,
,1423631,787096093,NORTHEASTERN UNIVERSITY,NORTHEASTERN UNIVERSITY,,360 HUNTINGTON AVE,,BOSTON,MA,A,Accepted original DUNS based on input data given,1423631,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could not find any thing.
",,June,Headquarters,Northeastern University,"360 Huntington Ave
Boston, MA 02115-5000, 
United States",617-373-2000 ,,
,6082440,22325141,EATON CORP,EATON CORP,,W126N7250 FLINT DR,,MENOMONEE FALLS,WI,A,Accepted original DUNS based on input data given,6082440,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,Eaton Corporation,"W126n7250 Flint Dr # 100
Menomonee Falls, WI 53051-4404, 
United States",414-449-6000,,985419987
,79566351,878059716,DELOITTE&TOUCHE LLP,DELOITTETOUCHE LLP,,4022 SELLS DR,,HERMITAGE,TN,A,Accepted original DUNS based on input data given,79566351,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could not find any thing.
",,June,Branch,Deloitte & Touche LLP,"4022 Sells Dr
Hermitage, TN 37076-2903, 
United States",615-882-7600 ,,1664820
,79134986,966990475,PWC,PWC,,4040 W BOY SCOUT BLVD,,TAMPA,FL,A,Accepted original DUNS based on input data given,79134986,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Single Location,PWC,"4040 W Boy Scout Blvd
Tampa, FL 33607-5750, 
United States",,,
,614845381,181271339,ERNST & YOUNG LLP,ERNST YOUNG LLP,,1201 ELM ST STE 1400,,DALLAS,TX,A,Accepted original DUNS based on input data given,614845381,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,ERNST & YOUNG LLP,"1201 Elm St Ste 1400
Dallas, TX 75270-2123, 
United States",,,58369562
,72726214,24172599,ORACLE USA INC,ORACLE AMERICA INC,,1001 SUNSET BLVD,,ROCKLIN,CA,A,Accepted original DUNS based on input data given,72726214,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name with different address.
",,June,Branch,"ORACLE AMERICA, INC.","1001 Sunset Blvd
Rocklin, CA 95765-3702, 
United States",303-272-6473 ,,144709193
,60976008,808190792,TRINITY HEALTH CORP,TRINITY HEALTH CORP,,20555 VICTOR PKWY,,LIVONIA,MI,A,Accepted original DUNS based on input data given,60976008,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Headquarters,TRINITY HEALTH CORPORATION,"20555 Victor Pkwy
Livonia, MI 48152-7031, 
United States",734-343-1000 ,,
,6261481,963767066,MEDTRONIC INC,MEDTRONIC INC,,710 MEDTRONIC PKWY,,MINNEAPOLIS,MN,A,Accepted original DUNS based on input data given,6261481,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Headquarters,"MEDTRONIC, INC.","710 Medtronic Pkwy
Minneapolis, MN 55432-5604, 
United States",763-514-4000 ,,
,110024325,6979900,AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS CO,,18850 N 56TH ST # 240213,,PHOENIX,AZ,A,Accepted original DUNS based on input data given,110024325,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,AMERICAN EXPRESS COMPANY,"18850 N 56th St
Phoenix, AZ 85054-4500, 
United States",480-375-1620 ,,6979900
,609420369,178632667,JOHNSON & JOHNSON,JOHNSON JOHNSON,,501 GEORGE ST,,NEW BRUNSWICK,NJ,A,Accepted original DUNS based on input data given,609420369,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Single Location,Johnson & Johnson Finance Corporation,"501 George St
New Brunswick, NJ 08901-1197, 
United States",732-524-0400 ,,
,67071348,785636874,FMR LLC,FMR LLC,,2 DESTINY WAY # WG1A,,WESTLAKE,TX,A,Accepted original DUNS based on input data given,67071348,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Single Location,FMR QURESHI BEN,"2 Destiny Way
Westlake, TX 76262-8100, 
United States",,,
,54700185,1673920,MCKINSEY & CO,MCKINSEY CO,,140 FOUNTAIN PKWY N,,ST PETERSBURG,FL,A,Accepted original DUNS based on input data given,54700185,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,"McKinsey & Company, Inc.","140 Fountain Pkwy N #800
Saint Petersburg, FL 33716-1274, 
United States",727-561-2829 ,,1673920
,72148831,790847235,SALESFORCE.COM,SALESFORCE COM,,1 MARKET ST STE 300,,SAN FRANCISCO,CA,A,Accepted original DUNS based on input data given,72148831,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Headquarters,"Salesforce.com, Inc.","1 Market Ste 300
San Francisco, CA 94105-5188, 
United States",415-901-7000 ,,
,5373089,196548481,STRYKER CORP,STRYKER CORP,,2825 AIRVIEW BLVD,,PORTAGE,MI,A,Accepted original DUNS based on input data given,5373089,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Headquarters,Stryker Corporation,"2825 Airview Blvd
Portage, MI 49002-1802, 
United States",269-385-2600 ,,
,2300077,11574630,GLAXOSMITHKLINE,GLAXOSMITHKLINE,,5 CRESCENT DR,,PHILADELPHIA,PA,A,Accepted original DUNS based on input data given,2300077,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name with different address.
",,June,Headquarters,GLAXOSMITHKLINE LLC,"5 Crescent Dr
Philadelphia, PA 19112-1001, 
United States",215-751-4000 ,,
,79195503,194303616,HCA MANAGEMENT SERVICES,HCA MANAGEMENT SERVICE,,1 PARK PLZ,,NASHVILLE,TN,D,After research on the web found possible DUNS,79195503/194303616,"On hoovers for JUNE DUNS we found company name""HCA Management Services, L.P."" and address matches completely and for MAY DUNS we found company name""HCA INC"" and address matches completely.So both JUNE and MAY DUNS are considered.
",,June/May,Single Location/Headquarters,"HCA Management Services, L.P.","1 Park Plz # I-4w
Nashville, TN 37203-6527, 
United States",615-344-2688 ,79195503/194303616,
,78783811,57926767,BOSTON CONSL GROUP,BOSTON CONSL GROUP,,53 STATE ST # FL31,,BOSTON,MA,A,Accepted original DUNS based on input data given,78783811,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Headquarters,"Bcg Subsidiary Holding Mexico, Inc","53 State St Ste 31
Boston, MA 02109-3030, 
United States",617-973-1200 ,,
,55307883,831917161,THOMSON REUTERS CORP,THOMSON REUTERS CORP,,22 THOMSON PL,,BOSTON,MA,A,Accepted original DUNS based on input data given,55307883,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name with different address.
",,June,Branch,THOMSON REUTERS (MARKETS) LLC,"22 Thomson Pl
Boston, MA 02210-1212, 
United States",617-856-2000 ,,90758129
,362756939,6983688,CREDIT SUISSE,CREDIT SUISSE,,1 MADISON AVE FL 3,,NEW YORK,NY,A,Accepted original DUNS based on input data given,362756939,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,"Credit Suisse (usa), Inc.","1 Madison Ave Fl 3
New York, NY 10010-3663, 
United States",646-360-3361 ,,6982995
,198707890,946041162,NOVUS PRINT MEDIA,NOVUS MEDIA INC,,2 CARLSON PKWY N STE 400,,PLYMOUTH,MN,D,After research on the web found possible DUNS,198707890/946041162,"On hoovers for JUNE DUNS we found company name""Novus Media Inc."" and address matches completely and 
for MAY DUNS we found company name""Npm Network"" and address matches completely.So both JUNE and MAY DUNS are considered.
",,June/May,Single Location/Single Location,Novus Media Inc,"2 Carlson Pkwy N
Minneapolis, MN 55447-4470, 
United States",612-302-6800 ,198707890/946041162,
,797179244,845739072,APPLE COMPUTER,APPLE INC,,12545 RIATA VISTA CIR,,AUSTIN,TX,D,After research on the web found possible DUNS,797179244/845739072,"On hoovers for JUNE DUNS we found company name""APPLE INC"" and address matches completely and for MAY DUNS we found company name""Xpedx Apple Computers"" and address matches completely.So both JUNE and MAY DUNS are considered.
",,June/May,Branch/Single Location,APPLE INC.,"12545 Riata Vista Cir
Austin, TX 78727-6524, 
United States",512-674-2000 ,797179244/845739072,60704780
,969563019,927006148,HILTON HOTELS CORP,HILTON WORLDWIDE INC,,7926 JONES BRANCH DR,,MCLEAN,VA,A,Accepted original DUNS based on input data given,969563019,"we could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.
",,June,Branch,"Hilton Worldwide, Inc.","7926 Jones Branch Dr Fl 4, Mc Lean, VA 22102-3370,  United States",703-883-5964 ,,79132993
,829460778,806841532,ARDENT MEDICAL SERVICES INC,ARDENT MEDICAL SERVICE INC,,1 BURTON HILLS BLVD,,NASHVILLE,TN,D,After research on the web found possible DUNS,829460778/806841532,"On hoovers for JUNE DUNS we found company name""VTR Ams, Inc ""and address matches completely and for MAY DUNS we found company name""AHS MEDICAL HOLDINGS LLC"" and address matches completely. So both JUNE and MAY DUNS are considered.
",,June/May,Single Location/Single Location,AHS MEDICAL HOLDINGS LLC,"1 Burton Hills Blvd #250
Nashville, TN 37215-6293, 
United States
Nashville, TN 37215-6293, 
United States",615-296-3000 ,829460778/806841532,
,78826673,33683888,NEWS CORP LTD,21ST CENTURY FOX AME,,1185 AVENUE OF THE AMERICAS,,NEW YORK,NY,B,After research on the web accept original DUNS,78826673,"We could find same company name with JUNE DUNS where address does not matches. For MAY DUNS we could find input company name and address matches.
",,May,Branch,"21st Century Fox America, Inc.","1185 Avenue Of The Americas Ste 22r
New York, NY 10036-2601, 
United States
New York, NY 10036-8701, 
United States",212-575-2216 ,,68211093
,48375110,196337864,FACEBOOK INC,FACEBOOK INC,,1 HACKER WAY,,MENLO PARK,CA,B,After research on the web accept original DUNS,196337864,"We could find different company name with JUNE DUNS where address does not matches. For MAY DUNS we could find input company name and address matches.
",,May,Headquarters,"Facebook, Inc.","1601 Willow Rd
Menlo Park, CA 94025-1456, 
United States",650-543-4800 ,,
